"","X","item","price","userid","phonenum"
"25",25,"에어팟","133,500 원","()","010-****-**26"
"86",86,"에어팟 1세대","133,500 원","()","010-****-**26"
"104",104,"에어팟","123,000 원","(psh060****)","010-****-**26"
"114",114,"에어팟2세대","155,000 원","()","010-****-**26"
"125",125,"에어팟 1세대","130,000 원","(****)","010-****-**26"
"126",126,"에어팟1","130,000 원","()","010-****-**26"
"155",155,"에어팟1","130,000 원","()","010-****-**26"
"159",159,"에어팟 1세대 미개봉","130,000 원","()","010-****-**26"
"169",169,"아이팟 클래식","80,000 원","(ysly****)","010-****-**26"
"202",202,"갤럭시 버즈","105,000 원","()","010-****-**26"
"249",249,"갤럭시버즈","100,000 원","()","010-****-**26"
"267",267,"갤럭시버즈","300,000 원","()","010-****-**26"
"28",28,"아이폰6","103,000 원","()","010-****-**46"
"204",204,"갤럭시워치","230,000 원","()","010-****-**46"
"484",484,"아이폰7 매트블랙 ","200,000 원","()","010-****-**46"
"29",29,"버즈","100,000 원","()","010-****-**51"
"49",49,"galaxy s10 5g 256gb","650,000 원","()","010-****-**51"
"123",123,"에어팟 2세대 유선","170,000 원","(my****)","010-****-**51"
"130",130,"갤럭시버즈","100,000 원","(i11****)","010-****-**51"
"177",177,"아이폰 xs","800,000 원","()","010-****-**51"
"291",291,"아이폰 xs 256g","850,000 원","(gyeon****)","010-****-**51"
"320",320,"에어팟2세대","155,000 원","(tpdk****)","010-****-**51"
"322",322,"갤럭시s7엣지","75,000 원","(alstj****)","010-****-**51"
"30",30,"아이폰 6s","130,000 원","()","010-****-**80"
"430",430,"부쉬넬 pro x2","400,000 원","()","010-****-**80"
"32",32,"에어팟2","40,000 원","()","010-****-**97"
"124",124,"갤럭시워치 46mm 블루투스 미개봉품","230,000 원","()","010-****-**97"
"296",296,"갤럭시 기어s3 프론티어","90,000 원","(****)","010-****-**97"
"349",349,"에어팟2","133,000 원","(buzzbo****)","010-****-**97"
"368",368,"v50 듀얼스크린","50,000 원","()","010-****-**97"
"470",470,"갤럭시 s8+","230,000 원","()","010-****-**97"
"36",36,"에어팟","170,000 원","()","010-****-**76"
"38",38,"에어팟","145,000 원","()","010-****-**76"
"62",62,"에어팟","150,000 원","()","010-****-**76"
"76",76,"갤럭시버즈","110,000 원","()","010-****-**76"
"90",90,"에어팟","148,000 원","()","010-****-**76"
"91",91,"에어팟","140,000 원","()","010-****-**76"
"109",109,"갤럭시버즈","95,000 원","()","010-****-**76"
"238",238,"bbq 황금올리브 반반 + 콜라 1.25L","28,000 원","(zl****)","010-****-**76"
"510",510,"갤럭시s10플러스 s10+","653,000 원","(****)","010-****-**76"
"40",40,"갤럭시 버즈 버드","100,000 원","()","010-****-**60"
"43",43,"에어팟 2세대 유선","160,000 원","()","010-****-**60"
"44",44,"갤럭시 버즈 농협 강민수 3510860103343 사기꾼 조심하세요","100,000 원","()","010-****-**60"
"48",48,"버즈 (삼성무선이어폰)","100,000 원","(****)","010-****-**60"
"302",302,"월디페","0 원","()","010-****-**60"
"475",475,"아이폰8","0 원","(simo****)","010-****-**60"
"41",41,"갤럭시 워치 엑티브","150,000 원","(dandy****)","010-****-**61"
"47",47,"아이폰xsmax","900,000 원","()","010-****-**61"
"50",50,"에어팟2 무선","155,000 원","(tbtrhfd****)","010-****-**61"
"64",64,"애플워치3 GPS 42mm  스페이스그레이","240,000 원","()","010-****-**61"
"93",93,"에어팟","180,000 원","()","010-****-**61"
"127",127,"아이패드","104,000 원","()","010-****-**61"
"330",330,"S8+","210,000 원","()","010-****-**61"
"332",332,"갤럭시s8+ 플러스","213,500 원","()","010-****-**61"
"334",334,"갤럭시S8플러스","216,000 원","()","010-****-**61"
"339",339,"갤럭시 s8+","200,000 원","(kyss****)","010-****-**61"
"342",342,"갤럭시S8 플러스 64GB","214,000 원","(kyss****)","010-****-**61"
"346",346,"갤럭시S8 플러스 64GB","210,000 원","(kyss****)","010-****-**61"
"42",42,"에어팟 1세대","103,000 원","(antoni****)","010-****-**85"
"411",411,"사용불가능한 아이폰을 판매함..","355,000 원","()","010-****-**85"
"414",414,"노트9","450,000 원","()","010-****-**85"
"417",417,"에어팟","152,500 원","(****)","010-****-**85"
"444",444,"갤로시노트9","250,000 원","()","010-****-**85"
"448",448,"갤럭시노트","400,000 원","(****)","010-****-**85"
"51",51,"갤럭시 노트8","155,000 원","(icemi****)","010-****-**34"
"61",61,"갤럭시워치42  mm","230,000 원","(lsw****)","010-****-**34"
"71",71,"아이폰 xs","580,000 원","(he110_stra****)","010-****-**34"
"285",285,"갤럭시 워치","225,000 원","()","010-****-**34"
"360",360,"에어팟","155,000 원","()","010-****-**34"
"363",363,"워치46mm","245,000 원","(****)","010-****-**34"
"367",367,"갤럭시워치 42mm","450,000 원","()","010-****-**34"
"374",374,"갤럭시 워치 46mm","245,000 원","(ghdrjs****)","010-****-**34"
"386",386,"갤럭시 워치46mm","245,000 원","(lsw****)","010-****-**34"
"441",441,"에어팟","173,000 원","()","010-****-**34"
"53",53,"아이폰7풀박스","442,000 원","()","010-****-**68"
"77",77,"에어팟1","110,000 원","(1004dltj****)","010-****-**68"
"85",85,"s8플러스","80,000 원","(1004dltj****)","010-****-**68"
"201",201,"에어팟1","90,000 원","()","010-****-**68"
"212",212,"에어팟","120,000 원","()","010-****-**68"
"244",244,"에어팟2 무선충전","130,000 원","()","010-****-**68"
"251",251,"아이폰7","150,000 원","()","010-****-**68"
"274",274,"lg g7 핸드폰","200,000 원","()","010-****-**68"
"287",287,"아이폰7","100,000 원","()","010-****-**68"
"306",306,"아이폰 7 매트블랙","146,000 원","(inh****)","010-****-**68"
"326",326,"갤럭시노트9","250,000 원","(inh****)","010-****-**68"
"347",347,"아이폰 7+","110,000 원","(****)","010-****-**68"
"377",377,"g6","52,500 원","(tnrgml****)","010-****-**68"
"405",405,"G6","80,000 원","(tnrgml****)","010-****-**68"
"54",54,"무선 이어폰","45,000 원","()","010-****-**21"
"292",292,"엑스페리아 xz1","85,000 원","()","010-****-**21"
"351",351,"갤럭시 버즈","100,000 원","(k****)","010-****-**21"
"56",56,"갤럭시버즈","40,000 원","()","010-****-**87"
"235",235,"버즈","110,000 원","()","010-****-**87"
"243",243,"노트3","35,000 원","()","010-****-**87"
"57",57,"자브라 엘리트 65t","90,000 원","(aad****)","010-****-**39"
"58",58,"갤럭시 워치","230,000 원","(lky84****)","010-****-**86"
"354",354,"갤럭시 버즈","95,000 원","()","010-****-**86"
"382",382,"갤럭시 버즈","80,000 원","(ohk****)","010-****-**86"
"499",499,"버즈","100,000 원","()","010-****-**86"
"59",59,"아이폰6S","60,000 원","()","010-****-**32"
"121",121,"S8","135,000 원","()","010-****-**32"
"385",385,"갤럭시 버즈","100,000 원","()","010-****-**32"
"458",458,"아이폰xr","650,000 원","(dnwj****)","010-****-**32"
"492",492,"에어팟1세대","85,000 원","(tkddus****)","010-****-**32"
"60",60,"갤럭시 버즈","80,000 원","(H****)","010-****-**50"
"275",275,"에어팟","165,000 원","()","010-****-**50"
"299",299,"에어팟","160,000 원","()","010-****-**50"
"507",507,"아이폰8 플러스 256 골드","850,000 원","(sun****)","010-****-**50"
"65",65,"lg v30","103,000 원","()","010-****-**24"
"66",66,"키즈폰 준3","30,000 원","(jmho****)","010-****-**22"
"229",229,"갤럭시버즈 화이트","108,000 원","(justici****)","010-****-**22"
"271",271,"갤럭시버즈","110,000 원","()","010-****-**22"
"272",272,"갤럭시 버즈","110,000 원","(whitemil****)","010-****-**22"
"314",314,"에어팟","100,000 원","()","010-****-**22"
"357",357,"갤럭시워치","220,000 원","()","010-****-**22"
"415",415,"닌텐도 스위치","270,000 원","()","010-****-**22"
"69",69,"갤럭시버즈","90,000 원","()","010-****-**73"
"178",178,"휴대폰 개통(아이폰7)","0 원","()","010-****-**73"
"473",473,"갤럭시 S8 플러스 64기가","220,000 원","()","010-****-**73"
"72",72,"에어팟 2세대","165,000 원","(qhdnr2****)","010-****-**14"
"79",79,"에어팟 1","110,000 원","()","010-****-**14"
"92",92,"에어팟2세대","160,000 원","(qhdnr2****)","010-****-**14"
